Source;Target;Label;Highway;Length;Type
63;455;Rua do Arsenal;secondary;25.17;Undirected
455;456;Rua do Arsenal;secondary;118.89;Undirected
456;457;Rua do Arsenal;secondary;46.07;Undirected
458;31;Rua da Prata;secondary;60.27;Undirected
459;460;Rua da Prata;secondary;12.71;Undirected
225;281;Rua da Misericórdia;secondary;132.14;Undirected
281;461;Rua da Misericórdia;secondary;48.28;Undirected
461;171;Rua da Misericórdia;secondary;58.72;Undirected
462;43;Rua das Escolas Gerais;residential;67.52;Undirected
463;89;Rua da Graça;residential;32.6;Undirected
89;125;Rua da Graça;residential;53.1;Undirected
125;129;Rua da Graça;residential;9.19;Undirected
129;464;Rua da Graça;residential;42.61;Undirected
464;121;Rua da Graça;residential;17.62;Undirected
121;134;Rua da Graça;residential;24.96;Undirected
134;118;Rua da Graça;residential;61.88;Undirected
218;465;Rua Dom Duarte;secondary;19.88;Undirected
466;467;Rua da Betesga;secondary;37.64;Undirected
468;469;Rua Antero de Quental;residential;251.98;Undirected
469;470;Rua Capitão Renato Baptista;residential;59.89;Undirected
470;471;Rua Capitão Renato Baptista;residential;90.21;Undirected
471;472;Rua Capitão Renato Baptista;residential;177.49;Undirected
473;474;Rua Rafael de Andrade;residential;62.36;Undirected
474;471;Rua Rafael de Andrade;residential;67.69;Undirected
475;476;Rua Nova do Desterro;residential;33.36;Undirected
476;477;Rua Nova do Desterro;residential;66.93;Undirected
477;472;Rua Nova do Desterro;residential;55.28;Undirected
472;478;Rua Nova do Desterro;residential;24.46;Undirected
479;480;Rua do Desterro;residential;12.85;Undirected
480;477;Rua do Desterro;residential;110.41;Undirected
481;482;Praça da Alegria;tertiary;43.74;Undirected
376;363;Rua da Glória;residential;133.5;Undirected
483;482;Praça da Alegria;tertiary;68.38;Undirected
482;161;Praça da Alegria;tertiary;37.91;Undirected
161;382;Praça da Alegria;tertiary;65.26;Undirected
484;355;Travessa de João de Deus;residential;66.01;Undirected
485;486;Rua da Saudade;residential;88.91;Undirected
237;277;Largo do Carmo;residential;29.17;Undirected
487;237;Largo do Carmo;residential;60.01;Undirected
168;487;Largo do Carmo;residential;29.17;Undirected
480;488;Calçada do Desterro;residential;103.95;Undirected
488;489;Calçada do Desterro;residential;39.44;Undirected
490;491;Rua José António Serrano;residential;93.78;Undirected
492;493;Travessa da Horta;residential;39.29;Undirected
493;494;Travessa da Horta;residential;84.03;Undirected
494;495;Travessa da Horta;residential;25.52;Undirected
400;496;Rua da Academia das Ciências;residential;60.34;Undirected
493;497;Travessa do Arco a Jesus;residential;113.04;Undirected
408;498;Praça do Príncipe Real;secondary;83.42;Undirected
498;394;Praça do Príncipe Real;secondary;75.58;Undirected
179;316;Rua Dom Pedro V;secondary;123.31;Undirected
316;499;Rua Dom Pedro V;secondary;64.59;Undirected
499;500;Rua Dom Pedro V;secondary;31.51;Undirected
500;501;Rua Dom Pedro V;secondary;11.99;Undirected
501;394;Rua Dom Pedro V;secondary;31.32;Undirected
252;502;Campo dos Mártires da Pátria;residential;214.75;Undirected
502;18;Campo dos Mártires da Pátria;residential;17.42;Undirected
453;503;Campo dos Mártires da Pátria;residential;207.51;Undirected
504;505;Rua da Voz do Operário;residential;8.62;Undirected
505;113;Rua da Voz do Operário;residential;114.88;Undirected
113;506;Rua da Voz do Operário;residential;136.09;Undirected
507;508;Rua dos Cegos;residential;75.29;Undirected
508;509;Rua dos Cegos;residential;40.32;Undirected
510;373;Rua de São Paulo;tertiary;12.5;Undirected
373;364;Rua de São Paulo;tertiary;29.86;Undirected
364;511;Rua de São Paulo;tertiary;73.18;Undirected
511;512;Rua de São Paulo;tertiary;79.93;Undirected
512;513;Rua de São Paulo;tertiary;62.07;Undirected
513;514;Rua de São Paulo;tertiary;45.24;Undirected
515;516;Rua do Corpo Santo;tertiary;59.2;Undirected
476;488;Travessa do Desterro;residential;29.46;Undirected
517;518;Travessa da Cruz do Torel;residential;59.81;Undirected
447;519;Travessa do Torel;residential;57.75;Undirected
519;518;Travessa do Torel;residential;27.23;Undirected
518;18;Rua Júlio de Andrade;residential;131.2;Undirected
18;520;Campo dos Mártires da Pátria;tertiary;19.05;Undirected
520;453;Campo dos Mártires da Pátria;tertiary;21.51;Undirected
250;521;Campo dos Mártires da Pátria;tertiary;33.59;Undirected
16;198;Rua de Santo António dos Capuchos;tertiary;23.17;Undirected
198;17;Rua de Santo António dos Capuchos;tertiary;6.4;Undirected
203;522;Largo da Anunciada;residential;80.72;Undirected
454;203;Rua das Portas de Santo Antão;residential;119.28;Undirected
469;523;Rua Antero de Quental;residential;33.63;Undirected
524;525;Cais do Sodré;residential;7.96;Undirected
526;527;Largo do Barão de Quintela;residential;35.93;Undirected
528;529;Escadinhas da Barroca;residential;52.85;Undirected
530;531;Rua do Convento da Encarnação;residential;59.25;Undirected
530;532;UNAMED;residential;19.22;Undirected
533;534;Rua do Sol a Santa Catarina;residential;76.86;Undirected
534;535;Rua do Sol a Santa Catarina;residential;63.05;Undirected
535;536;Rua do Sol a Santa Catarina;residential;29.54;Undirected
536;537;Rua do Sol a Santa Catarina;residential;41.18;Undirected
538;539;Rua Doutor Almeida Amaral;residential;166.02;Undirected
540;541;Largo do Mastro;residential;33.45;Undirected
542;473;Rua da Bempostinha;residential;137.41;Undirected
473;543;Rua da Bempostinha;residential;80.88;Undirected
250;544;Largo do Mitelo;residential;39.65;Undirected
545;546;Cais do Sodré;residential;142.55;Undirected
546;547;UNAMED;tertiary;104.62;Undirected
547;548;UNAMED;tertiary;414.55;Undirected
164;359;Rua Serpa Pinto;residential;51.82;Undirected
359;236;Rua Serpa Pinto;residential;17.47;Undirected
233;549;Rua Serpa Pinto;residential;38.17;Undirected
236;550;Travessa do Carmo;residential;21.2;Undirected
550;487;Travessa do Carmo;residential;65.2;Undirected
365;367;Praça Dom Luís I;tertiary;73.55;Undirected
551;365;Rua Dom Luís I;tertiary;486.08;Undirected
552;553;Travessa do Cotovelo;residential;63.24;Undirected
553;515;Travessa do Cotovelo;residential;42.81;Undirected
